Permit,Premises Name,Premises Address,Start date,End date,Ext,Table Area,
499,Subway,11 Forrest Road,01 May 2019,30 September 2019,,1.0m x 3.55m,
501,Caffe Nero (1 Parliament Square) ,192 High Street ,01 April 2019,31 March 2020,,9.8m x 1.5m,
511,"Breakfast, Brunch and Lunch ",65 Pleasance,01 June 2019,31 October 2019,,1m x 1.5m and 2.5m x 1.5m,
513,Union of Genius,8 Forrest Road,01 December 2018,16 November 2019,,2.0m x 1.0m,
516,The Fountain,127-131 Dundee Street,18 April 2019,30 September 2019,, 4.3m x 1.50m,
517,Snax Café,118 Buccleuch Street,01 February 2019,30 September 2019,,3.0m x 1.0m,
518,Mimi's Bakehouse,63 Shore ,09 March 2019,08 March 2020,,4.0m x 3.0m ,
519,Lailas Bistro,63 Cockburn Street,01 April 2019,31 March 2020,22:00,3.0m x 2.0m and 1.0m x 2.0m,
525,Angus Cafe,27 George IV Bridge,08 May 2019,07 May 2020,22:00,3.0m x 0.8m,
529,Patisserie Valerie ,158-162 Rose Street,24 May 2019,23 May 2020,,5.27mx 2.0m,
533,Pizza Express,38 Shore,01 March 2019,28 February 2020,22:00,3.60m x 2.00m and 7.20m x 2.00m,
534,Rose Street Take Away,106 Rose Street ,26 April 2019,26 October 2019,,2m x 1.0m ,
539,Social Bite,131 Rose Street,01 February 2019,31 January 2020,,3.0m x 2.0m ,
540,Thistle Stop Cafe,2 James Court (493 Lawnmarket),01 July 2019,31 August 2019, ,3.0m x 4.0m ,
542,Pep and Fodder ,11 Waterloo Place ,14 September 2018,13 September 2019,,7.6m x 1.7m ,
543,Pizza Express,1 Deanhaugh Street ,01 March 2019,29 February 2020,22:00,10.0m x 1.5m ,
544,Noble Leisure ,47-49 Figgate Lane,01 April 2019,31 March 2020,,3.0m x 1.0m and 2.0m x 1.0m,
546,Cherry's Café ,45-46 London Road,01 April 2019,30 September 2019,,4.0m x 1.0m,
548,Grassmarket Hotel ,94-96 Grassmarket ,01 April 2019,31 March 2020,22:00,2.3m x 6.8m,
550,Zizzi ,"1 Roxburgh's Court, Advocate's Close ",18 March 2019,05 November 2019,22:00,43.625m2  ,
551,Woodland Creatures ,260-262 Leith Walk ,01 June 2019,31 December 2019,22:00,7.4m x 2.0m,
557,Principal Charlotte Square,32-38 Charlotte Square,03 May 2019,31 October 2019,22:00,10.55m x 2.6m ,
558,Uncle's Fish & Chips Café,51-52 George IV Bridge,14 May 2019,14 November 2019,,2.50m x 1.0m and 2.45m x 1.0m,
561,Café Alba ,86 Grassmarket,21 June 2019,20 June 2020,22:00,2.5m x 3.0m and 2.3m x 3.0m,
577,Candy Bar (Central),113-115 George Street,02 August 2019,26 August 2019,22:00,8.0m x 3.8m ,
578,Tigerlily (Central),125 George Street,02 August 2019,26 August 2019,22:00,16.0m x 4.0m ,
582,Miller & Carter,31 Frederick Street,21 April 2019,20 April 2020,22:00,14.335m x 1.8m,
585,Nandos,71 Lothian Road,03 August 2018,02 August 2019,22:00,12.5m x 1.5m (on Grindlay Street),
586,Slug and Lettuce (Central),113-115 George Street ,03 August 2019,26 August 2019,extension to midnight,16.0m x 3.8m,
591,Printworks Coffee,42 Constitution Street ,01 May 2019,31 October 2019,,2.2m x 1.5m & 2.2m x 1.5m,
592,Gurkha Cafe and Restaurant ,25-27 Cockburn Street ,23 April 2019,07 September 2019,,2.2m x 1.3m ,
593,Rocksalt Cafe ,46 Constitution Street ,24 April 2019,30 September 2019,,3.6m x 3.0m and 3.0m x 3.0m ,
597,Bar Rollo ,108 Raeburn Place,19 April 2019,06 October 2019,22:00,11.47m2,
599,Cuckoo's Bakery ,150 Dundas Street ,15 July 2019,14 July 2020,,1.8m x 1.0m and 1.8m x 1.0m ,
600,Salt Cafe ,54-56 Morningside Road ,15 May 2019,31 October 2019,,1.7m x 1.0m and 2.5m x 1.0m,
601,Guild of Forester ,40 Portobello High Street ,10 April 2019,31 October 2019,,4.6m x 1.5m and 8.69m x 1.5m ,
602,Persevere ,390 - 394 Easter Road ,10 April 2019,30 September 2019,,4.2m x 1.0m and 2.6m x 1.0m,
605,Mia Restaurant ,96 Dalry Road ,04 April 2019,04 November 2019,22:00,4.0m x 1.0m ,
609,Cairngorm Coffee Co ,41a Frederick Street ,08 May 2019,07 May 2020,,2.5m x 1.5m,
612,Cafe Bensu ,29 Crighton Place ,01 July 2019,31 October 2019,,1.0m x 1.0m and 1.0m x 1.0m ,
616,St Giles Cafe ,8 St Giles Street ,01 July 2019,30 June 2020,22:00,11.0m x 1.1m ,
620,St Andrews Take Away and Restaurant ,280-284 Portobello High Street,22 April 2019,31 October 2019,,2.80m x 1.20m & 2.80m x 1.20m & 2.0m x 1.20m ,
621,Haymarket Bar ,11a-14 West Maitland Street ,01 July 2019,30 June 2020,22:00,6.0m x 1.5m and 6.3m x 1.5m ,
622,Polentoni,38 Easter Road,16 June 2019,15 October 2019,,3m x 1m,
623,Desi Pakwan,61 Leith Walk,23 April 2019,30 September 2019,22:00,6m x 2.0m,
625,Dickens Lounge Bar,88 Dalry Road,14 June 2019,17 June 2020,,1.0m x 1.0m ,
626,La Casa,103-105 Dalry Road ,05 April 2019,05 November 2019,22:00,5.0m x 1.0m ,
627,Greggs,85/87 Rose Street ,09 August 2018,08 August 2019,,1.8m x 7.5m ,
635,Gooseneck Café,22 Grindlay Street,07 May 2019,06 October 2019,,2.4m x 0.5m,
636,Cafe Cockburn,34 Cockburn Street,01 April 2019,31 March 2020,,2.5m x 1m,
637,The Jolly Botanist ,256-260 Morrison Street,01 May 2019,30 April 2020,22:00,8.0m x 1.0m ,
638,The Hideout Cafe,40-42 Queen Charlotte Street,24 April 2019,31 October 2019,,2m x 1m,
640,Casa Amiga ,294 Leith Walk ,29 March 2019,01 September 2019,,3.0m x 3.0m ,
641,Harmonium Bar & Kitchen,60 Henderson Street ,19 April 2019,12 October 2019,22:00,2.5m x 1.1m ,
644,Brewhemia,1A Market Street ,08 February 2019,31 July 2019,22:00,12.28m x 1.57m,
646,Strigicake ,1 East Preston Street,01 July 2019,31 October 2019,,3.0m x 0.8m,
651,Brewdog ,143 Cowgate ,06 September 2018,05 September 2019,22:00,11.00m x 1.0m + 7.2m x 1.0m,
653,Las Iguanas Ltd ,141-143 George Street ,01 April 2019,31 March 2020,22:00,13.75 x 1.51,
654,Victor & Carina Contini Cannonball Restaurant & Bar,"Cannonball House, 356 Castlehill",18 April 2019,29 September 2019,22:00,10m x 0.70m,
655,Greggs,19A Rose Street,09 August 2018,08 August 2019,,5m x 2.2m,
656,The Little Inn,1 Johnston Terrace,12 March 2019,13 March 2020,,1.0m x 1.0m and 1.0m x 1.0m ,
657,Topolabamba,93 Lothian Road ,01 June 2019,31 May 2020,22:00,6.0m x 1.5m,
658,Barburrito,6 Shandwick Place ,01 April 2019,31 March 2020,22:00,1.5m x 4.0m ,
663,Barburrito,119 Lothian Road ,01 April 2019,31 March 2020,22:00,3.2m x 1.5m ,
666,Cassia,106 Leith Walk,07 June 2019,30 September 2019,,1.2m x 1.26m + 1.2m x 1.26m,
669,Ola Kala,202  Morrison Street ,12 April 2019,20 October 2019,,1.8m x 1.5m and 1.8m x 1.5m ,
670,Strathmore Bar ,17 Iona Street ,05 May 2019,09 October 2019,,2.6m x 1.5m and 4.4m x  1.5m ,
672,La Barantine Victoria,89 West Bow,01 January 2019,31 December 2019,,3.0m x 0.80m,
676,Fraser Suites ,12-26 St Giles Street ,29 July 2018,28 July 2019,22:00,17.2m x 1.0m,
677,Graze of Grassmarket ,67 Grassmarket ,21 January 2019,20 January 2020,,2.0m x 1.0m and 2.0m x 1.0m ,
678,Patisserie Valerie ,25 George IV Bridge ,01 August 2018,31 July 2019,,3.0m x 1.0m ,
679,Brig Bar,96-98 Leith Walk,18 April 2019,30 September 2019,22:00,3m x 1m ,
680,Dough Pizzeria Ltd,172 Rose Street,01 April 2019,31 October 2019,22:00,3.6m x 3m,
681,Costa Coffee,50-54 Raeburn Place,14 July 2019,13 July 2020,,6.3m x 1.2m ,
684,The Blundabus,next to Potterrow Underpass,01 August 2019,31 August 2019,22:00,4.5m x 3.0m and 4.5m x 3.0m ,
688,Beer Kitchen by Innes and Gunn ,81-83 Lothian Road ,24 July 2018,23 July 2019,22:00,4.2m x 1.5m and 3.8m x 1.5m ,
693,Origano ,236 Leith Walk ,01 June 2019,30 September 2019,22:00,7.7m x 1.5m,
694,Marie Delices ,125 Comiston Road ,20 February 2019,19 February 2020,,1.5m x 1.0m ,
695,Artisan,35 London Road ,10 April 2019,31 October 2019,,3.6m x 1.7m and 3.7m x 1.7m ,
696,Shandwicks ,4 South Charlotte Street ,20 April 2019,19 April 2020,22:00,3.2m x 2.0m and 3.2m x 1.0m ,
698,Copper Blossom,107 George Street,03 September 2018,02 September 2019,22:00,6.0m x 2.5m & 5m x (1.5m/2.0m),
699,The Royal Society of Edinburgh,22-26 George Street,02 August 2019,26 August 2019,,7.88m x 2.24m,
705,Costa Coffee,"Unit 2, New Waverley, East Market Street",18 June 2019,17 June 2020,,24m x 0.8m,
707,Jessie Mays Bar & Kitchen,316-318 Gorgie Road,28 May 2019,28 September 2019,,3.07m x 1.6m + 6.32m x 1.6m,
710,Greggs PLC,357-359 Leith Walk,09 August 2018,08 August 2019,,4.905m x 1.9m,
712,Leith Depot,138-140 Leith Walk,01 April 2019,15 September 2019,,2.5m x 1.0m,
713,Grosvenor,26-28 Shandwick Place,01 April 2019,31 March 2020,,4.7m x 1.0m,
714,Smith & Gertrude Ltd,26 Hamilton Place,03 January 2019,02 January 2020,,3.15m x 1.159m + 3.15m x 1.159m,
715,Malvarosa,262 Portobello High Street,30 May 2019,29 September 2019,,2.0m x 1.5m x 2.0m x 1.5m,
718,Badger & Co ,32 Castle Street,15 May 2019,14 May 2020,22:00,2m x 5.4m and 2m x 1.8m,
719,La Petite Mort ,32 Valleyfield Street,01 April 2019,23 October 2019,,1.0m x 4.5m + 1.0 x 4.5m ,
720,The Painted Rooster,10 Melville Place,06 July 2019,05 July 2020,,1.0m x 1.5m,
721,The Pop Up Geeks,27 East market Street,01 February 2019,31 January 2020,22:00,1.5m x 2.3m + 2.5m x 2.3m,
723,The Wall Coffee and Design House,45 Cockburn Street,01 April 2019,31 March 2020,,2.0m x 2.0m,
724,Cote,51 Frederick Street,01 April 2019,31 March 2020,22:00,2.61m x 3.0m + 2.61m x 3.0m,
725,New Town Deli Ltd,42 Broughton Street,01 August 2018,26 November 2019,,1.5m x 0.6m,
729,Mimi's Bakehouse,277 St John's Road,09 March 2019,08 March 2020,,4.0m x 1.0m and 3.0m x 1.0m,
733,Let Me Eat Ltd,63 Holyrood Road,02 September 2018,01 September 2019,,2.0m x 1.0m,
734,Let Me Eat Too Ltd,7 Cowgatehead,02 September 2018,01 September 2019,,1.30m 0.80m + 1.30m 0.80m,
736,Café Vigo,88 St John's Road,14 April 2019,14 October 2019,,1.2m x 1.2m + 1.2m x 1.2m,
737,Rollo Broughton,14 Broughton Street,19 April 2019,06 October 2019,22:00,2.0m x 2.0m,
738,Art and Vintage Ltd,3 Lyne Street,01 April 2019,31 October 2019,,2.5m x 0.7m,
739,Happy Bean Cafe,14 Easter Road,01 February 2019,31 July 2019,,2.0m x 1.0m,
740,Greenmantle,44 West Crosscauseway,01 May 2019,30 September 2019,,9.0m x 0.5m,
741,Rutland Hotel (for Rutland Place),1 - 3 Rutland Street - for Rutland Place,01 July 2019,30 September 2019,,12.0m x 4.0m,
742,Jolly Judge,7A James Court,21 June 2019,20 June 2020,22:00,8.0m x 2.0m,
743,Bread Meats Bread,90-92 Lothian Road,01 May 2019,31 October 2019,22:00,7.34m x 2.045m,
746,Cairngorm Coffee Co ,1 Melville Place,08 May 2019,07 May 2020,,3.6m x 1.5m ,
747,Chop House ,Arch 15 East Market Street ,01 April 2019,31 March 2020,22:00,3.0m x 1.9m + 5.0m x 3.15m,
749,Mia Restaurant (2),394 Morningside Road ,01 August 2018,31 July 2019,22:00,4.0m x 1.0m ,
750,Byron Hamburgers,29-31 North Bridge,01 March 2019,29 February 2020,22:00, 8.0m x 1.5m (High Street only),
754,The National Museum of Scotland Gilded Balloon,Lothian Street ,31 July 2019,26 August 2019,22:00,23.0m x 4.0m,
755,Machina Espresso Ltd ,80 Nicolson Street ,24 April 2019,01 September 2019,,1.5m x 1.0m and 1.5m x 1.0m ,
757,The Refinery ,"Unit 4, 3-8 St Andrew Square ",21 November 2018,20 November 2019,22:00,27m2,
758,Greggs PLC,2-4 Shandwick Place,04 October 2018,03 October 2019,,5.55m x 1.86m,
759,Dishoom,"Unit 6, 3-8 St Andrew Square",25 November 2018,24 November 2019,22:00,5.0m x 2.0m ,
761,Scotsman Lounge,73 Cockburn Street,01 May 2019,31 October 2019,22:00,4.5m x 1.5m and 1.5m and 1.5m,
764,The Scottish Story Centre,43-45 High Street,03 July 2019,02 July 2019,,3.0m x 2.0m,
765,Costa Coffee,"Unit 2, Haddington Place",11 April 2019,10 April 2020,,6.0m x 2.4m,
766,Oscars Mobile Catering Van (Chippy Chips) ,"Pipe Lane, Portobello Promenade",22 April 2019,30 September 2019,,8.0m x 2.0m and 8.0m x 1.0m,
767,Pizza Hut,Cockburn Street,01 April 2019,31 March 2020,22:00,2.5m x 1.5m ,
768,Gannet & Guga,3 East Market Street,01 April 2019,29 September 2019,,2.0m x 1.5m + 1.0m x 1.0m,
770,Wagamama,4 St Andrew Square,30 April 2019,29 April 2020,22:00,5.4m x 2.0m and 4.515 x 2.0m,
773,Fazenda,100 George Street,14 February 2019,13 February 2020,22:00,11.8m x 3.5m,
774,Souq,57-59 South Clerk Street,10 April 2019,09 April 2020,22:00,6.8m x 1.2m,
776,The Last Drop (Central Grassmarket),92 Grassmarket,01 April 2019,30 September 2019,,50m2,
777,Tea & Sympathy,1e Ashley Terrace,01 May 2019,31 October 2019,,1.2m x 1.28m + 1.28m x 2.24m,
778,Hectors,47-49 Deanhaugh Street,12 May 2019,11 May 2020,,14m2,
779,The Pod Cafe Ltd,3 Viewforth Gardens,01 August 2018,31 July 2019,,2.0m x 1.4m,
781,Scotts Kitchen,4-6 Victoria Terrace,01 April 2019,30 September 2019,22:00,6.72m x 1.5m + 6.16m x 1.5m,
782,Rose Theatre Café,204 Rose Street,27 April 2019,26 August 2019,,4.4m x 2.4m + 5.2m x 2.4m,
784,The Cellar Door Restaurant,44-46 George IV Bridge,01 June 2019,31 May 2020,22:00,2.1m x 1.0m ,
785,The Pastry Section,86 Raeburn Place,20 July 2018,19 July 2019,,2.0m x 1.0m,
786,Rose Street Cafe,192a Rose Street,07 January 2019,06 January 2020,,3.0m x 2.5m,
787,White Sushi,31 Crighton Place,01 May 2019,30 September 2019,,2.0m x 2.0m,
789,Toast,65 The Shore,01 June 2019,01 December 2019,22:00,3.7m x 1.2m,
792,EasyCoffee,15 Clifton Terrace (t&c on Roseberry Terrace),18 October 2018,17 October 2019,,3.0m x 1.5m,
794,Thomas J Walls Coffee,35 Forrest Road,01 March 2019,31 October 2019,,1.5m x 1.8m & 1.5m x 1.8m,
795,The Ivy,3-8 St Andrew Square,01 April 2019,31 March 2020,22:00,3.0m x 2.5m & 5.83m x 2.5m,
797,Ostara Cafe,52 Coburg Street,26 June 2019,02 November 2019,,6.0m x 1.0m,
800,Eden Locke,127 George Street,03 August 2018,02 August 2019,, 12.3m x 2.0m ,
801,Wahaca,16 South St Andrew Street,04 June 2019,03 June 2020,22:00,9.0m x 2.5m,
802,The Beachhouse Bakery,112 Portobello High Street,31 August 2018,30 August 2019,,3.5m x 1.0m,
805,Biblos,1 Chambers Street,01 August 2018,31 July 2019,22:00,5.0m x 1.4m,
809,Gaucho,4 St Andrew Square (unit 809),01 April 2019,31 March 2020,22:00,5.7m x 2.6m,
810,Chop House ,88 Bruntsfield Place,01 April 2019,30 September 2019,22:00,2.5m x 1.5m and 5.0m x 1.2m,
812,Artisan Coffee,274 Leith Walk,01 March 2019,30 November 2019,,3.0m x 2.5m and 3.0m x 1.5m,
813,Tiffany's Gelateria Ltd T/a Crollas,1 Coalhill the Shore,16 April 2019,15 April 2020,22:00,2.5m x 1.5m and 2.7m x 1.2m ,
815,Seeds for the Soul Ltd,167 Bruntsfield Place,15 May 2019,14 May 2020,,2.4m x 1.5m,
817,Cuckoo's Bakery ,116 Bruntsfield Place,22 July 2019,21 July 2020,,2.1m X 1.0m,
819,Bon Bon,65 Elm Row,08 March 2019,01 December 2019,,2m x 1.5m,
820,The Pie Not Bistro,135 Comiston Road,01 July 2019,30 September 2019,,2.0m x 1.0m,
822,Bross Bagels,105 Leith Walk,06 June 2019,05 June 2020,,3.0m x 4.0m,
823,Mimis Little Bakehouse,250 Canongate,01 November 2018,31 October 2019,,4.5m x 0.6m,
824,Dreadnought Leith Ltd,72 North Fort Street,07 June 2019,06 November 2019,22:00,2.5m x 1.2m & 2.5m x 1.2m,
827,Hanks Sandwich Bar,162 Fountainbridge,31 August 2018,30 August 2019,,4.9m x 0.8m,
828,Caffeine,154 Dundas Street,01 June 2019,31 October 2019,,2.0m x 1.0m,
829,Café Andaluz ,9a & 10-11 George IV Bridge,06 July 2019,05 July 2020,22:00,6.5m x 1.5m,
832,Yawn Café,396 Morningside Road,15 May 2019,14 October 2019,,1.5m x 1.0m,
836,Mimi's Bakehouse,2 Market Street,12 March 2019,13 March 2020,,5.0m x 1.5,
837,The Scotsman Hotel,20-24 North Bridge,06 July 2019,05 July 2020,22:00,15.7m x 1.05m,
838,Victor Hugo Deli,35 Castle Street,17 June 2019,31 December 2019,,10.3m x 2.0m,
841,Edinburgh Food Studio,158 Dalkeith Road,01 August 2018,27 July 2019,,1.5m x 1.5m & 1.5m x 1.5m,
842,L'Etoile Salon de Tea,44 West Port,03 August 2018,02 August 2019,,1.33m x 0.75m & 1.33m x 0.75m,
843,The Edinburgh Coffee Lounge Ltd,9 St Patrick Square,07 June 2019,30 September 2019,,2.0m x 1.0m and 2.0m x 1.0m,
845,Headcase Barbers,142 Rose Street,01 April 2019,31 March 2020,,2.0m x 1.0m,
846,Starbucks Coffee,3 Shrub Place Lane,12 September 2018,11 September 2019,,6.0m x 1.5m,
847,Love Crumbs,155 West Port,06 April 2019,06 October 2019,,3.0m x 1.0m,
848,Smoov,244 Canongate,08 October 2018,07 October 2019,,4.0m x 0.5m,
849,Thrive Café Bar,171 Bruntsfield Place,24 August 2018,23 August 2019,,3.7m x 1.5m,
850,Santosa,21 Albert Street,07 September 2018,06 September 2019,,2.0m x 1.0m,
851,Chameleon Juice,139 West Port ,05 October 2018,04 October 2019,,2.0m x 0.60m,
853,Fortuna,74-77 Queen Street,05 November 2018,04 November 2019,,3.25m x 1.3m & 1.3m x 1.3m,
854,The Scotsman Hotel (Market Street),Market Street,19 April 2019,18 April 2020,22:00,"3.5m x 2.0m, 2.0m x 2.0m, 5.0m x 1.0m",
855,Damm 27,25-29 Causewayside,25 April 2019,24 April 2020,22:00,7.0m x 0.85m ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
